행정구역,총인구수,연령구간인구수,2022년04월_계_0~9세,2022년04월_계_10~19세,2022년04월_계_20~29세,2022년04월_계_30~39세,2022년04월_계_40~49세,2022년04월_계_50~59세,2022년04월_계_60~69세,2022년04월_계_70~79세,2022년04월_계_80~89세,2022년04월_계_90~99세,2022년04월_계_100세 이상,2022년04월_남_총인구수,2022년04월_남_연령구간인구수,2022년04월_남_0~9세,2022년04월_남_10~19세,2022년04월_남_20~29세,2022년04월_남_30~39세,2022년04월_남_40~49세,2022년04월_남_50~59세,2022년04월_남_60~69세,2022년04월_남_70~79세,2022년04월_남_80~89세,2022년04월_남_90~99세,2022년04월_남_100세 이상,2022년04월_여_총인구수,2022년04월_여_연령구간인구수,2022년04월_여_0~9세,2022년04월_여_10~19세,2022년04월_여_20~29세,2022년04월_여_30~39세,2022년04월_여_40~49세,2022년04월_여_50~59세,2022년04월_여_60~69세,2022년04월_여_70~79세,2022년04월_여_80~89세,2022년04월_여_90~99세,2022년04월_여_100세 이상
서울특별시 성동구 왕십리제2동(1120052000),16376,16376,1165,1093,2330,2836,2480,2649,2147,1131,474,69,2,7917,7917,592,575,1090,1402,1223,1296,1031,496,190,21,1,8459,8459,573,518,1240,1434,1257,1353,1116,635,284,48,1
서울특별시 성동구 왕십리도선동(1120053500),26524,26524,2157,1628,4207,4477,4026,4352,3160,1591,814,111,1,12566,12566,1099,828,1907,2077,1999,2059,1554,711,309,23,0,13958,13958,1058,800,2300,2400,2027,2293,1606,880,505,88,1
서울특별시 성동구 마장동(1120054000),22298,22298,1105,1563,4218,3185,2853,3541,3176,1740,801,111,5,10986,10986,565,752,2142,1647,1449,1719,1578,792,311,31,0,11312,11312,540,811,2076,1538,1404,1822,1598,948,490,80,5
서울특별시 성동구 사근동(1120055000),12078,12078,401,855,4744,1600,1104,1293,981,718,350,31,1,6262,6262,213,386,2626,907,578,632,468,302,140,10,0,5816,5816,188,469,2118,693,526,661,513,416,210,21,1
서울특별시 성동구 행당제1동(1120056000),13929,13929,950,994,2208,2280,2102,2219,1730,936,442,64,4,6690,6690,480,463,1044,1130,1026,1061,869,426,172,18,1,7239,7239,470,531,1164,1150,1076,1158,861,510,270,46,3
서울특별시 성동구 행당제2동(1120057000),23146,23146,1678,1985,2763,3453,3787,3941,2916,1733,788,98,4,10838,10838,825,888,1333,1625,1805,1940,1359,747,295,20,1,12308,12308,853,1097,1430,1828,1982,2001,1557,986,493,78,3
서울특별시 성동구 응봉동(1120058000),15256,15256,1093,1573,1697,2093,2779,2470,1775,1137,579,60,0,7263,7263,578,790,829,1012,1310,1208,820,483,217,16,0,7993,7993,515,783,868,1081,1469,1262,955,654,362,44,0
서울특별시 성동구 금호1가동(1120059000),15107,15107,1175,1078,1654,2432,2530,2354,2146,1124,545,67,2,7193,7193,595,556,825,1130,1278,1126,981,493,191,18,0,7914,7914,580,522,829,1302,1252,1228,1165,631,354,49,2
서울특별시 성동구 금호2.3가동(1120061500),22550,22550,1679,1329,2702,3957,3633,3614,3048,1697,780,105,6,10720,10720,862,651,1372,1904,1782,1704,1416,732,266,29,2,11830,11830,817,678,1330,2053,1851,1910,1632,965,514,76,4
서울특별시 성동구 금호4가동(1120062000),14271,14271,1274,934,1411,2503,2554,2115,1880,1064,477,54,5,6768,6768,657,476,705,1133,1292,1042,852,438,156,14,3,7503,7503,617,458,706,1370,1262,1073,1028,626,321,40,2
서울특별시 성동구 옥수동(1120064500),25866,25866,2471,1654,2646,4700,4480,3816,3424,1740,805,123,7,12037,12037,1230,835,1222,2113,2209,1761,1547,768,309,39,4,13829,13829,1241,819,1424,2587,2271,2055,1877,972,496,84,3
서울특별시 성동구 성수1가제1동(1120065000),16427,16427,1001,1039,2479,2848,2302,3007,2350,931,412,54,4,8189,8189,542,538,1283,1400,1133,1485,1199,437,158,12,2,8238,8238,459,501,1196,1448,1169,1522,1151,494,254,42,2
서울특별시 성동구 성수1가제2동(1120066000),12427,12427,663,814,1903,2295,1871,1938,1693,854,361,35,0,6100,6100,341,425,908,1137,921,965,843,411,141,8,0,6327,6327,322,389,995,1158,950,973,850,443,220,27,0
서울특별시 성동구 성수2가제1동(1120067000),15639,15639,707,814,2093,2493,2110,2855,2776,1214,517,56,4,8172,8172,362,413,1081,1360,1141,1547,1478,566,213,10,1,7467,7467,345,401,1012,1133,969,1308,1298,648,304,46,3
서울특별시 성동구 성수2가제3동(1120069000),10695,10695,532,501,1894,1847,1406,1714,1550,811,389,49,2,5375,5375,278,264,874,937,733,897,827,386,162,16,1,5320,5320,254,237,1020,910,673,817,723,425,227,33,1
서울특별시 성동구 송정동(1120072000),10445,10445,453,545,1660,1590,1471,1880,1705,775,319,45,2,5504,5504,240,297,842,868,823,1015,918,365,123,12,1,4941,4941,213,248,818,722,648,865,787,410,196,33,1
서울특별시 성동구 용답동(1120079000),11539,11539,335,589,2250,1713,1547,2039,1617,962,440,45,2,6001,6001,179,291,993,906,890,1205,896,452,180,9,0,5538,5538,156,298,1257,807,657,834,721,510,260,36,2
서울특별시 광진구 (1121500000),340396,340396,17370,24708,61623,54767,50232,53920,44455,22189,9787,1290,55,164191,164191,8909,12494,28903,27208,24709,26366,21184,10159,3898,346,15,176205,176205,8461,12214,32720,27559,25523,27554,23271,12030,5889,944,40
서울특별시 광진구 화양동(1121571000),23721,23721,351,775,10499,4654,2120,2090,1722,1001,450,56,3,11310,11310,172,340,4552,2427,1182,1142,828,458,192,16,1,12411,12411,179,435,5947,2227,938,948,894,543,258,40,2
서울특별시 광진구 군자동(1121573000),19517,19517,768,981,4414,3624,2507,2752,2506,1324,574,64,3,9664,9664,395,504,2160,1850,1295,1404,1203,624,219,10,0,9853,9853,373,477,2254,1774,1212,1348,1303,700,355,54,3
서울특별시 광진구 중곡제1동(1121574000),15370,15370,678,689,2773,2953,2043,2440,2179,1111,453,49,2,7432,7432,349,361,1202,1464,1084,1238,1017,505,202,9,1,7938,7938,329,328,1571,1489,959,1202,1162,606,251,40,1
서울특별시 광진구 중곡제2동(1121575000),21302,21302,1003,1318,3669,3816,2957,3451,2968,1474,568,77,1,10032,10032,503,670,1648,1818,1462,1606,1393,675,243,13,1,11270,11270,500,648,2021,1998,1495,1845,1575,799,325,64,0
서울특별시 광진구 중곡제3동(1121576000),16048,16048,661,863,2535,2693,2165,2818,2445,1278,524,63,3,7967,7967,373,430,1231,1434,1115,1393,1201,571,201,17,1,8081,8081,288,433,1304,1259,1050,1425,1244,707,323,46,2
